file.num,behav,new.dur,pred.state,sex,age,pop,temp,humidity,date,predator
1,walk,582.073,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,588.5265,close,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,591.6675,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,ab_lift,598.277,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,599.277,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,ab_lift,601.168,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,ab_lift,601.4025,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,ab_lift,601.543,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,ab_lift,601.6525,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,ab_lift,601.7615,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,ab_lift,602.3475,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,603.3475,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,pause,606.9025,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,607.9025,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,617.583,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,stop,617.872,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,ab_lift,622.2,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,stop,623.2,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,jump,624.216,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,fly,625.161,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,stop,626.161,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,627.177,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,turn,629.083,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,run,630.896,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,pause,636.935,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,fly,638.0995,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,ab_lift,638.521,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,ab_lift,639.162,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,run,640.162,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,643.0915,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,turn,646.506,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,647.506,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,groom,662.296,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,673.5385,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,groom,679.2735,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,766.801,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,ab_lift,772.312,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,run,773.906,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,ab_lift,775.6795,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,ab_lift,776.117,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,run,777.117,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,groom,782.9685,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,fly,786.141,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,groom,787.141,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,789.469,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,groom,796.8055,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,831.3395,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,groom,834.144,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,861.544,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,jump,862.622,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,walk,862.9895,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
1,groom,866.1225,far,male,4,FVW,23,N/A,10_1_12_a1m.csv,spider
2,walk,1.055,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,turn,5.7035,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,6.7035,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,groom,9.8365,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,jump,10.5945,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,groom,11.3915,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,25.7825,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,ab_lift,26.728,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,groom,27.9,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,34.6035,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,jump,34.9475,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,35.658,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,fly,35.9085,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,36.9085,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,fly,38.041,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,pause,39.385,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,40.385,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,ab_lift,41.424,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,42.424,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,ab_lift,44.346,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,turn,44.5495,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,45.5495,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,groom,47.229,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,turn,49.667,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,groom,50.667,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,54.12,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,run,86.833,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,89.7865,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,ab_lift,117.9445,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,ab_lift,118.163,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,turn,118.538,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,fly,118.741,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,120.632,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,fly,121.0225,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,122.0225,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,groom,125.9135,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,135.3515,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,groom,137.7345,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,142.25,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,turn,147.0565,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,148.0565,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,groom,149.2205,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,turn,154.1115,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,groom,155.1115,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,156.4395,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,turn,156.674,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,157.674,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,groom,169.1825,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,197.7075,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,fly,198.2775,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,199.2775,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,turn,216.6535,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,217.6535,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,groom,240.3815,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,249.1475,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,groom,254.71,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,291.5325,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,groom,293.2745,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,fly,314.479,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,groom,315.479,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,319.854,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,groom,340.699,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,jump,351.6605,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,353.481,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,run,355.5905,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,356.5355,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,ab_lift,364.114,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,365.114,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,timeout,378.7555,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,386.7325,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,groom,388.1075,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,395.4125,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,fly,397.7645,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,fly,397.952,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,398.952,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,turn,408.179,0,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,409.101,entered,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,412.593,far,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,fly,415.2105,far,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,walk,416.2105,far,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
2,ab_lift,427.0325,far,female,5,FVW,22,N/A,10_2_12_a1f.csv,spider
