file.num,file,sex,age,pop,humidity,rec.time,temp,time.stamp,code,event,state,state.event,strike,pred.state,chasing,predator
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,985000,w,0,walk,walk,0,close,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,985456,4,0,walk,walk,0,far,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,988481,r,0,run,run,0,far,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,991866,w,0,walk,walk,0,far,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,1007696,g,0,groom,groom,0,far,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,1034108,w,0,walk,walk,0,far,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,1050616,g,0,groom,groom,0,far,0,mantid
1,03_17_2013_b1M.csv,Male,3,FVW,23,926,20,1985049,EOF,end_trial,groom,end_trial,0,far,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,1990,w,0,walk,walk,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,6561,g,0,groom,groom,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,7758,w,0,walk,walk,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,66204,s,0,stop,stop,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,67195,w,0,walk,walk,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,125491,g,0,groom,groom,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,145585,w,0,walk,walk,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,195312,h,0,timeout,timeout,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,202863,w,0,walk,walk,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,262971,g,0,groom,groom,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,263948,w,0,walk,walk,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,291242,g,0,groom,groom,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,297418,w,0,walk,walk,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,313929,g,0,groom,groom,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,330185,w,0,walk,walk,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,366183,g,0,groom,groom,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,376503,w,0,walk,walk,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,378295,g,0,groom,groom,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,398950,w,0,walk,walk,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,415525,g,0,groom,groom,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,428197,w,0,walk,walk,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,492146,g,0,groom,groom,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,510085,w,0,walk,walk,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,535061,g,0,groom,groom,0,0,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,638774,1,0,groom,groom,0,far,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,641606,w,0,walk,walk,0,far,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,702051,i,turn,walk,turn,0,far,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,723874,g,0,groom,groom,0,far,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,747394,w,0,walk,walk,0,far,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,756707,i,turn,walk,turn,0,far,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,759098,i,turn,walk,turn,0,far,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,760482,i,turn,walk,turn,0,far,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,837598,g,0,groom,groom,0,far,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,852798,w,0,walk,walk,0,far,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,863517,g,0,groom,groom,0,far,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,881404,w,0,walk,walk,0,far,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,954554,3,0,walk,walk,0,close,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,962486,y,ab_lift,walk,ablift,0,close,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,964981,q,0,rev_walk,rev_walk,0,close,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,965838,y,ab_lift,rev_walk,ablift,0,close,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,968837,y,ab_lift,rev_walk,ablift,0,close,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,972814,w,0,walk,walk,0,close,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,975973,s,0,stop,stop,0,close,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,977221,w,0,walk,walk,0,close,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,978774,z,capture,walk,capture,0,close,0,mantid
2,03_17_2013_b2F.csv,Female,3,FVW,23,1003,20,979950,EOF,end_trial,walk,end_trial,0,close,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,5252,w,0,walk,walk,0,0,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,5940,s,0,stop,stop,0,0,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,7379,f,fly,stop,fly,0,0,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,8963,s,0,stop,stop,0,0,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,10163,w,0,walk,walk,0,0,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,32923,i,turn,walk,turn,0,0,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,58849,g,0,groom,groom,0,0,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,64752,w,0,walk,walk,0,0,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,84199,g,0,groom,groom,0,0,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,97702,w,0,walk,walk,0,0,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,100951,d,wing_disp,walk,wingdisp,0,0,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,154865,g,0,groom,groom,0,0,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,241821,h,0,timeout,timeout,0,0,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,262995,w,0,walk,walk,0,0,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,285798,s,0,stop,stop,0,0,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,286567,w,0,walk,walk,0,0,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,289350,s,0,stop,stop,0,0,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,289975,w,0,walk,walk,0,0,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,292630,g,0,groom,groom,0,0,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,298917,w,0,walk,walk,0,0,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,304301,g,0,groom,groom,0,0,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,464064,w,0,walk,walk,0,0,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,477279,g,0,groom,groom,0,0,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,619950,1,0,groom,groom,0,far,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,624486,w,0,walk,walk,0,far,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,626461,d,wing_disp,walk,wingdisp,0,far,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,651299,3,0,walk,walk,0,close,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,657475,4,0,walk,walk,0,far,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,665315,i,turn,walk,turn,0,far,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,668363,3,0,walk,walk,0,close,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,675010,4,0,walk,walk,0,far,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,688066,i,turn,walk,turn,0,far,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,699521,3,0,walk,walk,0,close,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,709665,4,0,walk,walk,0,far,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,725256,g,0,groom,groom,0,far,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,726593,w,0,walk,walk,0,far,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,734343,g,0,groom,groom,0,far,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,740551,f,fly,groom,fly,0,far,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,742759,g,0,groom,groom,0,far,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,750407,w,0,walk,walk,0,far,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,755408,y,ab_lift,walk,ablift,0,far,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,756687,r,0,run,run,0,far,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,762388,y,ab_lift,run,ablift,0,far,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,763499,w,0,walk,walk,0,far,0,mantid
3,03_17_2013_b3M.csv,Male,3,FVW,23,1025,20,764908,f,fly,walk,fly,0,far,0,mantid
