file.num,file,sex,age,humidity,rec.time,temp,time.stamp,code,event,state,state.event,strike,pred.state,chasing,predator,date
1,10_1_12_a1m.csv,male,4,,937,23,1277042,y,ab_lift,run,ab_lift,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1278324,y,ab_lift,run,ab_lift,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1286183,w,0,walk,walk,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1293012,i,turn,walk,turn,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1324592,g,0,groom,groom,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1347077,w,0,walk,walk,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1358547,g,0,groom,groom,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1533602,w,0,walk,walk,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1544624,y,ab_lift,walk,ab_lift,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1547812,r,0,run,run,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1551359,y,ab_lift,run,ab_lift,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1552234,y,ab_lift,run,ab_lift,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1565937,g,0,groom,groom,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1572282,f,fly,groom,fly,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1578938,w,0,walk,walk,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1593611,g,0,groom,groom,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1662679,e,0,inch,inch,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1668288,g,0,groom,groom,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1723088,e,0,inch,inch,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1725244,j,jump,inch,jump,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1725979,w,0,walk,walk,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1732245,g,0,groom,groom,0,far,0,spider,10_1_12
1,10_1_12_a1m.csv,male,4,,937,23,1800779,EOF,end_trial,groom,end_trial,0,far,0,spider,10_1_12
4,10_26_12_a1f.csv,female,4,45,937,23,9094,g,0,groom,groom,0,0,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,145351,f,fly,groom,fly,0,0,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,147367,w,0,walk,walk,0,0,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,150211,g,0,groom,groom,0,0,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,442100,r,0,run,run,0,0,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,445772,y,ab_lift,run,ab_lift,0,0,0,spider,10_26_12
