,file,sex,age,pop,humidity,rec.time,temp,time.stamp,code,event,state,strike,pred.state,chasing,file.num,date,predator
142,1_3_14,Female,3,FVW,20,1135,21,541235,f,fly,stop,0,0,0,2,1_3_14,nopred
143,1_3_14,Female,3,FVW,20,1135,21,541747,s,0,stop,0,0,0,2,1_3_14,nopred
144,1_3_14,Female,3,FVW,20,1135,21,542371,w,0,walk,0,0,0,2,1_3_14,nopred
145,1_3_14,Female,3,FVW,20,1135,21,542797,f,fly,walk,0,0,0,2,1_3_14,nopred
146,1_3_14,Female,3,FVW,20,1135,21,543523,s,0,stop,0,0,0,2,1_3_14,nopred
147,1_3_14,Female,3,FVW,20,1135,21,545539,w,0,walk,0,0,0,2,1_3_14,nopred
148,1_3_14,Female,3,FVW,20,1135,21,547235,f,fly,walk,0,0,0,2,1_3_14,nopred
149,1_3_14,Female,3,FVW,20,1135,21,547778,s,0,stop,0,0,0,2,1_3_14,nopred
150,1_3_14,Female,3,FVW,20,1135,21,548931,w,0,walk,0,0,0,2,1_3_14,nopred
151,1_3_14,Female,3,FVW,20,1135,21,551755,f,fly,walk,0,0,0,2,1_3_14,nopred
152,1_3_14,Female,3,FVW,20,1135,21,552338,s,0,stop,0,0,0,2,1_3_14,nopred
153,1_3_14,Female,3,FVW,20,1135,21,554315,w,0,walk,0,0,0,2,1_3_14,nopred
154,1_3_14,Female,3,FVW,20,1135,21,556338,y,ab_lift,walk,0,0,0,2,1_3_14,nopred
155,1_3_14,Female,3,FVW,20,1135,21,566664,h,0,timeout,0,0,0,2,1_3_14,nopred
156,1_3_14,Female,3,FVW,20,1135,21,584571,g,0,groom,0,0,0,2,1_3_14,nopred
157,1_3_14,Female,3,FVW,20,1135,21,638811,1,0,groom,0,far,0,2,1_3_14,nopred
158,1_3_14,Female,3,FVW,20,1135,21,640371,h,0,timeout,0,far,0,2,1_3_14,nopred
159,1_3_14,Female,3,FVW,20,1135,21,643837,f,fly,timeout,0,far,0,2,1_3_14,nopred
160,1_3_14,Female,3,FVW,20,1135,21,645794,w,0,walk,0,far,0,2,1_3_14,nopred
161,1_3_14,Female,3,FVW,20,1135,21,649521,g,0,groom,0,far,0,2,1_3_14,nopred
162,1_3_14,Female,3,FVW,20,1135,21,654200,w,0,walk,0,far,0,2,1_3_14,nopred
163,1_3_14,Female,3,FVW,20,1135,21,664342,g,0,groom,0,far,0,2,1_3_14,nopred
164,1_3_14,Female,3,FVW,20,1135,21,668837,f,fly,groom,0,far,0,2,1_3_14,nopred
165,1_3_14,Female,3,FVW,20,1135,21,669518,s,0,stop,0,far,0,2,1_3_14,nopred
