,file,sex,age,pop,humidity,rec.time,temp,time.stamp,code,event,state,strike,pred.state,chasing,file.num,state.event,predator,date
168,1_4_14,male,4,FVW,30,954,21,1591080,i,turn,groom,0,far,0,1,turn,mantid,1_4_14
169,1_4_14,male,4,FVW,30,954,21,2044765,EOF,end_trial,groom,0,far,0,1,end_trial,mantid,1_4_14
170,1_4_14,Female,4,FVW,31,1048,21,2591,w,0,walk,0,0,0,2,walk,mantid,1_4_14
171,1_4_14,Female,4,FVW,31,1048,21,21502,s,0,stop,0,0,0,2,stop,mantid,1_4_14
172,1_4_14,Female,4,FVW,31,1048,21,22344,w,0,walk,0,0,0,2,walk,mantid,1_4_14
173,1_4_14,Female,4,FVW,31,1048,21,32158,g,0,groom,0,0,0,2,groom,mantid,1_4_14
174,1_4_14,Female,4,FVW,31,1048,21,33967,w,0,walk,0,0,0,2,walk,mantid,1_4_14
175,1_4_14,Female,4,FVW,31,1048,21,46462,g,0,groom,0,0,0,2,groom,mantid,1_4_14
176,1_4_14,Female,4,FVW,31,1048,21,244404,w,0,walk,0,0,0,2,walk,mantid,1_4_14
177,1_4_14,Female,4,FVW,31,1048,21,249835,i,turn,walk,0,0,0,2,turn,mantid,1_4_14
178,1_4_14,Female,4,FVW,31,1048,21,254964,g,0,groom,0,0,0,2,groom,mantid,1_4_14
179,1_4_14,Female,4,FVW,31,1048,21,528355,w,0,walk,0,0,0,2,walk,mantid,1_4_14
180,1_4_14,Female,4,FVW,31,1048,21,536451,g,0,groom,0,0,0,2,groom,mantid,1_4_14
181,1_4_14,Female,4,FVW,31,1048,21,601217,w,0,walk,0,0,0,2,walk,mantid,1_4_14
182,1_4_14,Female,4,FVW,31,1048,21,619332,y,ablift,walk,0,0,0,2,ablift,mantid,1_4_14
183,1_4_14,Female,4,FVW,31,1048,21,619948,y,ablift,walk,0,0,0,2,ablift,mantid,1_4_14
184,1_4_14,Female,4,FVW,31,1048,21,627557,g,0,groom,0,0,0,2,groom,mantid,1_4_14
185,1_4_14,Female,4,FVW,31,1048,21,667653,w,0,walk,0,0,0,2,walk,mantid,1_4_14
186,1_4_14,Female,4,FVW,31,1048,21,675459,i,turn,walk,0,0,0,2,turn,mantid,1_4_14
187,1_4_14,Female,4,FVW,31,1048,21,699587,y,ablift,walk,0,0,0,2,ablift,mantid,1_4_14
188,1_4_14,Female,4,FVW,31,1048,21,739521,y,ablift,walk,0,0,0,2,ablift,mantid,1_4_14
189,1_4_14,Female,4,FVW,31,1048,21,743706,s,0,stop,0,0,0,2,stop,mantid,1_4_14
190,1_4_14,Female,4,FVW,31,1048,21,744522,w,0,walk,0,0,0,2,walk,mantid,1_4_14
191,1_4_14,Female,4,FVW,31,1048,21,752832,y,ablift,walk,0,0,0,2,ablift,mantid,1_4_14
192,1_4_14,Female,4,FVW,31,1048,21,753496,y,ablift,walk,0,0,0,2,ablift,mantid,1_4_14
193,1_4_14,Female,4,FVW,31,1048,21,767328,g,0,groom,0,0,0,2,groom,mantid,1_4_14
194,1_4_14,Female,4,FVW,31,1048,21,780255,w,0,walk,0,0,0,2,walk,mantid,1_4_14
195,1_4_14,Female,4,FVW,31,1048,21,841854,y,ablift,walk,0,0,0,2,ablift,mantid,1_4_14
196,1_4_14,Female,4,FVW,31,1048,21,845950,y,ablift,walk,0,0,0,2,ablift,mantid,1_4_14
197,1_4_14,Female,4,FVW,31,1048,21,853437,y,ablift,walk,0,0,0,2,ablift,mantid,1_4_14
198,1_4_14,Female,4,FVW,31,1048,21,859229,y,ablift,walk,0,0,0,2,ablift,mantid,1_4_14
199,1_4_14,Female,4,FVW,31,1048,21,881154,1,0,walk,0,far,0,2,walk,mantid,1_4_14
200,1_4_14,Female,4,FVW,31,1048,21,882370,f,fly,walk,0,far,0,2,fly,mantid,1_4_14
201,1_4_14,Female,4,FVW,31,1048,21,887538,s,0,stop,0,far,0,2,stop,mantid,1_4_14
202,1_4_14,Female,4,FVW,31,1048,21,887739,w,0,walk,0,far,0,2,walk,mantid,1_4_14
203,1_4_14,Female,4,FVW,31,1048,21,888738,f,fly,walk,0,far,0,2,fly,mantid,1_4_14
204,1_4_14,Female,4,FVW,31,1048,21,889588,s,0,stop,0,far,0,2,stop,mantid,1_4_14
205,1_4_14,Female,4,FVW,31,1048,21,890450,f,fly,stop,0,far,0,2,fly,mantid,1_4_14
206,1_4_14,Female,4,FVW,31,1048,21,894476,w,0,walk,0,far,0,2,walk,mantid,1_4_14
207,1_4_14,Female,4,FVW,31,1048,21,896883,y,ablift,walk,0,far,0,2,ablift,mantid,1_4_14
208,1_4_14,Female,4,FVW,31,1048,21,899619,y,ablift,walk,0,far,0,2,ablift,mantid,1_4_14
209,1_4_14,Female,4,FVW,31,1048,21,903442,d,wingdisp,walk,0,far,0,2,wingdisp,mantid,1_4_14
210,1_4_14,Female,4,FVW,31,1048,21,904044,f,fly,walk,0,far,0,2,fly,mantid,1_4_14
211,1_4_14,Female,4,FVW,31,1048,21,905924,s,0,stop,0,far,0,2,stop,mantid,1_4_14
212,1_4_14,Female,4,FVW,31,1048,21,906843,f,fly,stop,0,far,0,2,fly,mantid,1_4_14
213,1_4_14,Female,4,FVW,31,1048,21,907435,s,0,stop,0,far,0,2,stop,mantid,1_4_14
214,1_4_14,Female,4,FVW,31,1048,21,908620,w,0,walk,0,far,0,2,walk,mantid,1_4_14
215,1_4_14,Female,4,FVW,31,1048,21,913979,y,ablift,walk,0,far,0,2,ablift,mantid,1_4_14
216,1_4_14,Female,4,FVW,31,1048,21,914844,y,ablift,walk,0,far,0,2,ablift,mantid,1_4_14
217,1_4_14,Female,4,FVW,31,1048,21,918611,y,ablift,walk,0,far,0,2,ablift,mantid,1_4_14
218,1_4_14,Female,4,FVW,31,1048,21,926573,f,fly,walk,0,far,0,2,fly,mantid,1_4_14
219,1_4_14,Female,4,FVW,31,1048,21,929106,w,0,walk,0,far,0,2,walk,mantid,1_4_14
220,1_4_14,Female,4,FVW,31,1048,21,929963,s,0,stop,0,far,0,2,stop,mantid,1_4_14
221,1_4_14,Female,4,FVW,31,1048,21,931428,w,0,walk,0,far,0,2,walk,mantid,1_4_14
222,1_4_14,Female,4,FVW,31,1048,21,934523,f,fly,walk,0,far,0,2,fly,mantid,1_4_14
223,1_4_14,Female,4,FVW,31,1048,21,939082,w,0,walk,0,far,0,2,walk,mantid,1_4_14
224,1_4_14,Female,4,FVW,31,1048,21,948681,i,turn,walk,0,far,0,2,turn,mantid,1_4_14
225,1_4_14,Female,4,FVW,31,1048,21,949433,y,ablift,walk,0,far,0,2,ablift,mantid,1_4_14
226,1_4_14,Female,4,FVW,31,1048,21,950106,y,ablift,walk,0,far,0,2,ablift,mantid,1_4_14
227,1_4_14,Female,4,FVW,31,1048,21,954217,y,ablift,walk,0,far,0,2,ablift,mantid,1_4_14
228,1_4_14,Female,4,FVW,31,1048,21,955650,y,ablift,walk,0,far,0,2,ablift,mantid,1_4_14
229,1_4_14,Female,4,FVW,31,1048,21,963383,s,0,stop,0,far,0,2,stop,mantid,1_4_14
230,1_4_14,Female,4,FVW,31,1048,21,965263,f,fly,stop,0,far,0,2,fly,mantid,1_4_14
231,1_4_14,Female,4,FVW,31,1048,21,966669,3,0,stop,0,close,0,2,stop,mantid,1_4_14
232,1_4_14,Female,4,FVW,31,1048,21,968462,s,0,stop,0,close,0,2,stop,mantid,1_4_14
233,1_4_14,Female,4,FVW,31,1048,21,969812,f,fly,stop,0,close,0,2,fly,mantid,1_4_14
