file.num,file,sex,age,pop,humidity,rec.time,temp,time.stamp,code,event,state,strike,pred.state,chasing,state.event,predator,date
1,1_4_14,Male,4,FVW,31,1027,21,1633962,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1636987,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1639035,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1642035,h,0,timeout,0,far,0,timeout,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1682281,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1695461,g,0,groom,0,far,0,groom,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1708297,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1714849,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1726064,g,0,groom,0,far,0,groom,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1792362,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1805546,b,pause,walk,0,far,0,pause,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1823551,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1824142,y,ablift,walk,0,far,0,ablift,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1825710,h,0,timeout,0,far,0,timeout,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1837350,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1841695,g,0,groom,0,far,0,groom,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1849315,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1856286,g,0,groom,0,far,0,groom,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1870842,i,turn,groom,0,far,0,turn,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1871931,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1878386,g,0,groom,0,far,0,groom,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1896996,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1906073,h,0,timeout,0,far,0,timeout,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1909138,w,0,walk,0,far,0,walk,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1918803,g,0,groom,0,far,0,groom,spider,1_4_14
1,1_4_14,Male,4,FVW,31,1027,21,1920267,EOF,end_trial,groom,0,far,0,end_trial,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,477,w,0,walk,0,0,0,walk,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,2965,d,wingdisp,walk,0,0,0,wingdisp,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,11599,i,turn,walk,0,0,0,turn,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,21931,b,pause,walk,0,0,0,pause,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,42323,g,0,groom,0,0,0,groom,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,52571,w,0,walk,0,0,0,walk,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,64696,i,turn,walk,0,0,0,turn,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,97622,h,0,timeout,0,0,0,timeout,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,106606,w,0,walk,0,0,0,walk,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,126549,b,pause,walk,0,0,0,pause,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,183604,g,0,groom,0,0,0,groom,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,184972,w,0,walk,0,0,0,walk,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,191507,f,fly,walk,0,0,0,fly,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,194027,h,0,timeout,0,0,0,timeout,spider,1_4_14
2,1_4_14a5F_s.csv,Female,4,FVW,35,1118,21,197499,w,0,walk,0,0,0,walk,spider,1_4_14
